year	category	nominee	win	performance	nominee_id
2007	Best Revival of a Play	Boyett Ostar Productions	Nominee	Inherit the Wind	boyett-ostar-productions-380745
2007	Best Revival of a Play	The Shubert Organization (Gerald Schoenfeld: Chairman; Philip J. Smith: President; Robert E. Wankel: Executive Vice President)	Nominee	Inherit the Wind	the-shubert-organization-gerald-schoenfeld-chairman-philip-j-smith-president-robert-e-wankel-executive-vice-president-20834
2007	Best Revival of a Play	Lawrence Horowitz	Nominee	Inherit the Wind	lawrence-horowitz-22863
2007	Best Revival of a Play	Jon Avnet/Ralph Guild	Nominee	Inherit the Wind	jon-avnet-ralph-guild-516165
2007	Best Revival of a Play	Roy Furman	Nominee	Inherit the Wind	roy-furman-91627
2007	Best Revival of a Play	Debra Black/Daryl Roth	Nominee	Inherit the Wind	debra-black-daryl-roth-516158
2007	Best Revival of a Play	Bill Rollnick/Nancy Ellison Rollnick	Nominee	Inherit the Wind	bill-rollnick-nancy-ellison-rollnick-516163
2007	Best Revival of a Play	Stephanie McClelland	Nominee	Inherit the Wind	stephanie-mcclelland-104801
2007	Best Revival of a Play	Jeffrey Richards	Nominee	Talk Radio	jeffrey-richards-72831
2007	Best Revival of a Play	Jerry Frankel	Nominee	Talk Radio	jerry-frankel-1166
2007	Best Revival of a Play	Jam Theatricals	Nominee	Talk Radio	jam-theatricals-489088
2007	Best Revival of a Play	Francis Finlay	Nominee	Talk Radio	francis-finlay-454425
2007	Best Revival of a Play	Ronald Frankel	Nominee	Talk Radio	ronald-frankel-393675
2007	Best Revival of a Play	James Fuld, Jr.	Nominee	Talk Radio	james-fuld-jr-84811
2007	Best Revival of a Play	Steve Green	Nominee	Talk Radio	steve-green-456679
2007	Best Revival of a Play	Judith Hansen	Nominee	Talk Radio	judith-hansen-456680
2007	Best Revival of a Play	Patty Ann Lacerte	Nominee	Talk Radio	patty-ann-lacerte-456978
2007	Best Revival of a Play	James Riley	Nominee	Talk Radio	james-riley-22448
2007	Best Revival of a Play	Mary Lu Roffe/Mort Swinsky	Nominee	Talk Radio	mary-lu-roffe-mort-swinsky-517378
2007	Best Revival of a Play	Sheldon Stein	Nominee	Talk Radio	sheldon-stein-422233
2007	Best Revival of a Play	Terri & Timothy Childs/StyleFour Productions	Nominee	Talk Radio	terri-timothy-childs-stylefour-productions-517379
2007	Best Revival of a Play	Irving Welzer/Herb Blodgett	Nominee	Talk Radio	irving-welzer-herb-blodgett-517380
2007	Best Revival of a Play	Manhattan Theatre Club (Lynne Meadow, Artistic Director; Barry Grove, Executive Producer)	Nominee	Translations	manhattan-theatre-club-lynne-meadow-artistic-director-barry-grove-executive-producer-74583
2007	Best Revival of a Play	The McCarter Theatre Company (Emily Mann, Artistic Director; Jeffrey Woodward, Managing Director)	Nominee	Translations	the-mccarter-theatre-company-emily-mann-artistic-director-jeffrey-woodward-managing-director-70092
2007	Best Revival of a Musical	Marc Routh	Winner	Company	marc-routh-23036
2007	Best Revival of a Musical	Richard Frankel	Winner	Company	richard-frankel-23562
2007	Best Revival of a Musical	Thomas Viertel	Winner	Company	thomas-viertel-23968
2007	Best Revival of a Musical	Steven Baruch	Winner	Company	steven-baruch-23882
2007	Best Revival of a Musical	Ambassador Theatre Group	Winner	Company	ambassador-theatre-group-70134
