year	category	nominee	winner	film
1930	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	The Divorcee
1930	OUTSTANDING PRODUCTION	Paramount Famous Lasky	False	The Love Parade
1930	SOUND RECORDING	Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director	True	The Big House
1930	SOUND RECORDING	(RKO Radio Studio Sound Department, John Tribby, Sound Director)	False	The Case of Sergeant Grischa
1930	SOUND RECORDING	(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)	False	The Love Parade
1930	SOUND RECORDING	(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)	False	Raffles
1930	SOUND RECORDING	(First National Studio Sound Department, George Groves, Sound Director)	False	Song of the Flame
1930	WRITING	(George Abbott), (Maxwell Anderson), (Del Andrews)	False	All Quiet on the Western Front
1930	WRITING	Frances Marion	True	The Big House
1930	WRITING	(Julian Josephson)	False	Disraeli
1930	WRITING	(John Meehan)	False	The Divorcee
1930	WRITING	(Howard Estabrook)	False	Street of Chance
1931	ACTOR	Lionel Barrymore	True	A Free Soul
1931	ACTOR	Jackie Cooper	False	Skippy
1931	ACTOR	Richard Dix	False	Cimarron
1931	ACTOR	Fredric March	False	The Royal Family of Broadway
1931	ACTOR	Adolphe Menjou	False	The Front Page
1931	ACTRESS	Marlene Dietrich	False	Morocco
1931	ACTRESS	Marie Dressler	True	Min and Bill
1931	ACTRESS	Irene Dunne	False	Cimarron
1931	ACTRESS	Ann Harding	False	Holiday
1931	ACTRESS	Norma Shearer	False	A Free Soul
1931	ART DIRECTION	Max Rée	True	Cimarron
1931	ART DIRECTION	Stephen Goosson, Ralph Hammeras	False	Just Imagine
1931	ART DIRECTION	Hans Dreier	False	Morocco
1931	ART DIRECTION	Anton Grot	False	Svengali
1931	ART DIRECTION	Richard Day	False	Whoopee!
1931	CINEMATOGRAPHY	Edward Cronjager	False	Cimarron
1931	CINEMATOGRAPHY	Lee Garmes	False	Morocco
1931	CINEMATOGRAPHY	Charles Lang	False	The Right to Love
1931	CINEMATOGRAPHY	Barney "Chick" McGill	False	Svengali
1931	CINEMATOGRAPHY	Floyd Crosby	True	Tabu
1931	DIRECTING	Wesley Ruggles	False	Cimarron
1931	DIRECTING	Clarence Brown	False	A Free Soul
1931	DIRECTING	Lewis Milestone	False	The Front Page
1931	DIRECTING	Josef Von Sternberg	False	Morocco
1931	DIRECTING	Norman Taurog	True	Skippy
1931	OUTSTANDING PRODUCTION	RKO Radio	True	Cimarron
1931	OUTSTANDING PRODUCTION	Fox	False	East Lynne
1931	OUTSTANDING PRODUCTION	The Caddo Company	False	The Front Page
1931	OUTSTANDING PRODUCTION	Paramount Publix	False	Skippy
1931	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	Trader Horn
1931	SOUND RECORDING	Samuel Goldwyn - United Artists Studio Sound Department	False	
1931	SOUND RECORDING	Metro-Goldwyn-Mayer Studio Sound Department	False	
1931	SOUND RECORDING	Paramount Publix Studio Sound Department	True	
1931	SOUND RECORDING	RKO Radio Studio Sound Department	False	
1931	WRITING (Adaptation)	Howard Estabrook	True	Cimarron
1931	WRITING (Adaptation)	Seton I. Miller, Fred Niblo, Jr.	False	The Criminal Code
1931	WRITING (Adaptation)	Horace Jackson	False	Holiday
1931	WRITING (Adaptation)	Francis Faragoh, Robert N. Lee	False	Little Caesar
1931	WRITING (Adaptation)	Joseph L. Mankiewicz, Sam Mintz	False	Skippy
1931	WRITING (Original Story)	John Monk Saunders	True	The Dawn Patrol
1931	WRITING (Original Story)	Rowland Brown	False	The Doorway to Hell
1931	WRITING (Original Story)	Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart	False	Laughter
1931	WRITING (Original Story)	John Bright, Kubec Glasmon	False	The Public Enemy
1931	WRITING (Original Story)	Lucien Hubbard, Joseph Jackson	False	Smart Money
1932	ACTOR	Wallace Beery	True	The Champ
1932	ACTOR	Alfred Lunt	False	The Guardsman
1932	ACTOR	Fredric March	True	Dr. Jekyll and Mr. Hyde
1932	ACTRESS	Marie Dressler	False	Emma
1932	ACTRESS	Lynn Fontanne	False	The Guardsman
1932	ACTRESS	Helen Hayes	True	The Sin of Madelon Claudet
1932	ART DIRECTION	Lazare Meerson	False	À Nous la Liberté
1932	ART DIRECTION	Richard Day	False	Arrowsmith
1932	ART DIRECTION	Gordon Wiles	True	Transatlantic
1932	CINEMATOGRAPHY	Ray June	False	Arrowsmith
1932	CINEMATOGRAPHY	Karl Struss	False	Dr. Jekyll and Mr. Hyde
1932	CINEMATOGRAPHY	Lee Garmes	True	Shanghai Express
1932	DIRECTING	Frank Borzage	True	Bad Girl
1932	DIRECTING	King Vidor	False	The Champ
1932	DIRECTING	Josef Von Sternberg	False	Shanghai Express
1932	OUTSTANDING PRODUCTION	Samuel Goldwyn Productions	False	Arrowsmith
1932	OUTSTANDING PRODUCTION	Fox	False	Bad Girl
1932	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	The Champ
1932	OUTSTANDING PRODUCTION	First National	False	Five Star Final
1932	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	True	Grand Hotel
1932	OUTSTANDING PRODUCTION	Paramount Publix	False	One Hour with You
1932	OUTSTANDING PRODUCTION	Paramount Publix	False	Shanghai Express
1932	OUTSTANDING PRODUCTION	Paramount Publix	False	The Smiling Lieutenant
1932	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	True	Flowers and Trees
1932	SHORT SUBJECT (Cartoon)	Leon Schlesinger, Producer	False	It's Got Me Again
1932	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	False	Mickey's Orphans
1932	SHORT SUBJECT (Comedy)	Mack Sennett, Producer	False	The Loud Mouth
1932	SHORT SUBJECT (Comedy)	Hal Roach, Producer	True	The Music Box
1932	SHORT SUBJECT (Comedy)	RKO Radio	False	Scratch-As-Catch-Can
1932	SHORT SUBJECT (Comedy)	RKO Radio	False	Stout Hearts and Willing Hands
1932	SHORT SUBJECT (Novelty)	Paramount Publix	False	Screen Souvenirs
1932	SHORT SUBJECT (Novelty)	Metro-Goldwyn-Mayer	False	Swing High
1932	SHORT SUBJECT (Novelty)	Mack Sennett, Producer	True	Wrestling Swordfish
1932	SOUND RECORDING	Metro-Goldwyn-Mayer Studio Sound Department	False	
1932	SOUND RECORDING	Paramount Publix Studio Sound Department	True	
1932	SOUND RECORDING	RKO Radio Studio Sound Department	False	
1932	SOUND RECORDING	Warner Bros.-First National Studio Sound Department	False	
1932	WRITING (Adaptation)	Sidney Howard	False	Arrowsmith
